Loc,Total,Default
Appendable_ThreadSafeMonitor @ CSVParser.java:620,4(11),4(11)
Appendable_ThreadSafeMonitor @ Condition.java:310,1(1),1(1)
Appendable_ThreadSafeMonitor @ IndexKeys31_60Test.java:400,1(0),1(0)
Appendable_ThreadSafeMonitor @ IndexKeys31_60Test.java:404,1(0),1(0)
Appendable_ThreadSafeMonitor @ IndexKeys31_60Test.java:427,1(0),1(0)
Appendable_ThreadSafeMonitor @ IndexKeys31_60Test.java:475,1(0),1(0)
Appendable_ThreadSafeMonitor @ IndexKeys31_60Test.java:498,1(0),1(0)
Appendable_ThreadSafeMonitor @ IndexKeys31_60Test.java:534,1(0),1(0)
Appendable_ThreadSafeMonitor @ IndexKeys31_60Test.java:582,1(0),1(0)
Appendable_ThreadSafeMonitor @ IndexKeys31_60Test.java:629,1(0),1(0)
Appendable_ThreadSafeMonitor @ IndexKeys61_90Test.java:52,1(0),1(0)
Appendable_ThreadSafeMonitor @ IndexKeys61_90Test.java:75,1(0),1(0)
Appendable_ThreadSafeMonitor @ IndexKeys61_90Test.java:78,1(0),1(0)
Appendable_ThreadSafeMonitor @ IndexKeys61_90Test.java:123,1(0),1(0)
Appendable_ThreadSafeMonitor @ IndexTest31_60Test.java:188,1(0),1(0)
Appendable_ThreadSafeMonitor @ IndexTest31_60Test.java:220,1(0),1(0)
Appendable_ThreadSafeMonitor @ IndexTest31_60Test.java:243,1(0),1(0)
Appendable_ThreadSafeMonitor @ IndexTest31_60Test.java:262,1(0),1(0)
Appendable_ThreadSafeMonitor @ IndexTest31_60Test.java:278,1(0),1(0)
Appendable_ThreadSafeMonitor @ IndexTest31_60Test.java:281,1(0),1(0)
Appendable_ThreadSafeMonitor @ IndexTest31_60Test.java:301,1(0),1(0)
Appendable_ThreadSafeMonitor @ IndexTest31_60Test.java:320,1(0),1(0)
Appendable_ThreadSafeMonitor @ IndexTest31_60Test.java:340,1(0),1(0)
Appendable_ThreadSafeMonitor @ IndexTest31_60Test.java:360,1(0),1(0)
Appendable_ThreadSafeMonitor @ IndexTest31_60Test.java:379,1(0),1(0)
Appendable_ThreadSafeMonitor @ IndexTest31_60Test.java:382,1(0),1(0)
Appendable_ThreadSafeMonitor @ IndexTest31_60Test.java:400,1(0),1(0)
Appendable_ThreadSafeMonitor @ IndexTest31_60Test.java:403,1(0),1(0)
Appendable_ThreadSafeMonitor @ IndexTest61_90Test.java:38,1(0),1(0)
Appendable_ThreadSafeMonitor @ IndexTest61_90Test.java:41,1(0),1(0)
Appendable_ThreadSafeMonitor @ IndexTest61_90Test.java:63,1(0),1(0)
Appendable_ThreadSafeMonitor @ IndexTest61_90Test.java:66,1(0),1(0)
Appendable_ThreadSafeMonitor @ IndexTest61_90Test.java:86,1(0),1(0)
Appendable_ThreadSafeMonitor @ IndexTest61_90Test.java:89,1(0),1(0)
Appendable_ThreadSafeMonitor @ KeywordSearch.java:96,1(0),1(0)
Appendable_ThreadSafeMonitor @ PojoAdapter.java:110,1(30296),1(1519)
Appendable_ThreadSafeMonitor @ PojoAdapter.java:119,1(997469),1(10000)
Appendable_ThreadSafeMonitor @ PojoAdapter.java:120,1(988334),1(9999)
Appendable_ThreadSafeMonitor @ PojoAdapter.java:123,1(988089),1(9999)
Appendable_ThreadSafeMonitor @ PojoAdapter.java:285,1(30297),1(1515)
Appendable_ThreadSafeMonitor @ Range.java:85,1(76779),1(3915)
Appendable_ThreadSafeMonitor @ RangeParser.java:152,1(12),1(12)
Appendable_ThreadSafeMonitor @ SpellCheckUtil.java:165,1(15229),1(799)
Appendable_ThreadSafeMonitor @ StoreLoader.java:608,9(5),9(5)
Appendable_ThreadSafeMonitor @ StoreSearch.java:487,1(0),1(0)
Appendable_ThreadSafeMonitor @ StoreSearch.java:686,1(0),1(0)
Appendable_ThreadSafeMonitor @ StoreSearch.java:767,1(0),1(0)
Appendable_ThreadSafeMonitor @ StoreSearch.java:798,1(0),1(0)
Arrays_SortBeforeBinarySearchMonitor @ StoreSearch.java:804,1(163),1(42)
CharSequence_NotInMapMonitor @ SpellCheckUtil.java:71,6(17),1(2)
CharSequence_NotInMapMonitor @ StoreSearch.java:929,1(199065),1(10000)
Closeable_MultipleCloseMonitor @ BooksTest.java:80,1(0),1(0)
Closeable_MultipleCloseMonitor @ CSVReader.java:457,1(5),1(5)
Closeable_MultipleCloseMonitor @ CongressResignationsTest.java:74,1(0),1(0)
Closeable_MultipleCloseMonitor @ DeathYearTest.java:65,1(0),1(0)
Closeable_MultipleCloseMonitor @ MovieTest.java:76,1(0),1(0)
Closeable_MultipleCloseMonitor @ RangeTest.java:69,1(0),1(0)
Closeable_MultipleCloseMonitor @ SurveyTest.java:73,1(0),1(0)
Collection_UnsafeIteratorMonitor @ Condition.java:320,25(308),11(50)
Collection_UnsafeIteratorMonitor @ IndexKeys31_60Test.java:224,1(0),1(0)
Collection_UnsafeIteratorMonitor @ KeywordSearch.java:59,6(28),6(28)
Collection_UnsafeIteratorMonitor @ KeywordSearch.java:261,5(3),5(3)
Collection_UnsafeIteratorMonitor @ KeywordSearch.java:391,3(155),2(41)
Collection_UnsafeIteratorMonitor @ KeywordSearch.java:476,5(25),3(9)
Collection_UnsafeIteratorMonitor @ LogicalUtil.java:151,12(281),10(51)
Collection_UnsafeIteratorMonitor @ LogicalUtil.java:180,3(15),2(2)
Collection_UnsafeIteratorMonitor @ LogicalUtil.java:181,10(1024),3(72)
Collection_UnsafeIteratorMonitor @ LogicalUtil.java:186,5(13),5(13)
Collection_UnsafeIteratorMonitor @ LogicalUtil.java:188,62(2045),5(122)
Collection_UnsafeIteratorMonitor @ LogicalUtil.java:208,5(50),5(46)
Collection_UnsafeIteratorMonitor @ LogicalUtil.java:210,42(148),42(148)
Collection_UnsafeIteratorMonitor @ LogicalUtil.java:215,4(3390),2(191)
Collection_UnsafeIteratorMonitor @ LogicalUtil.java:264,4(118),2(11)
Collection_UnsafeIteratorMonitor @ LogicalUtil.java:266,22(113),10(18)
Collection_UnsafeIteratorMonitor @ LogicalUtil.java:272,10(9056),3(437)
Collection_UnsafeIteratorMonitor @ MovieTest.java:350,1(0),1(0)
Collection_UnsafeIteratorMonitor @ SearchableRangeTest.java:34,1(0),1(0)
Collection_UnsafeIteratorMonitor @ SearchableRangeTest.java:54,1(0),1(0)
Collection_UnsafeIteratorMonitor @ SearchableRangeTest.java:74,1(0),1(0)
Collection_UnsafeIteratorMonitor @ SearchableRangeTest.java:120,1(0),1(0)
Collection_UnsafeIteratorMonitor @ SearchableRangeTest.java:144,1(0),1(0)
Collection_UnsafeIteratorMonitor @ SearchableRangeTest.java:163,1(0),1(0)
Collection_UnsafeIteratorMonitor @ SpellCheckUtil.java:70,7(18),3(6)
Collection_UnsafeIteratorMonitor @ SpellCheckUtil.java:156,21(15213),3(749)
Collection_UnsafeIteratorMonitor @ StoreLoader.java:115,44627(160988),2167(10203)
Collection_UnsafeIteratorMonitor @ StoreLoader.java:226,17(163369),2(8185)
Collection_UnsafeIteratorMonitor @ StoreLoader.java:520,8(125),8(125)
Collection_UnsafeIteratorMonitor @ StoreLoader.java:524,8(125),8(124)
Collection_UnsafeIteratorMonitor @ StoreLoader.java:539,8(125),7(12)
Collection_UnsafeIteratorMonitor @ StoreLoader.java:540,5(4732),2(251)
Collection_UnsafeIteratorMonitor @ StoreLoader.java:616,4(390),3(79)
Collection_UnsafeIteratorMonitor @ StoreSearch.java:240,14(147),9(42)
Collection_UnsafeIteratorMonitor @ StoreSearch.java:241,70(4497),5(238)
Collection_UnsafeIteratorMonitor @ StoreSearch.java:362,2(17),2(9)
Collection_UnsafeIteratorMonitor @ StoreSearch.java:374,3(8),3(8)
Collection_UnsafeIteratorMonitor @ StoreSearch.java:379,2(12),2(12)
Collection_UnsafeIteratorMonitor @ StoreSearch.java:386,3(73),3(18)
Collection_UnsafeIteratorMonitor @ StoreSearch.java:427,4(4),4(4)
Collection_UnsafeIteratorMonitor @ StoreSearch.java:439,2(12),2(5)
Collection_UnsafeIteratorMonitor @ StoreSearch.java:461,6(140),3(12)
Collection_UnsafeIteratorMonitor @ StoreSearch.java:513,2(0),2(0)
Collection_UnsafeIteratorMonitor @ StoreSearch.java:518,1(3),1(3)
Collection_UnsafeIteratorMonitor @ StoreSearch.java:519,2(2),2(2)
Collection_UnsafeIteratorMonitor @ StoreSearch.java:541,1(1),1(1)
Collection_UnsafeIteratorMonitor @ StoreSearch.java:551,2(4),2(3)
Collection_UnsafeIteratorMonitor @ StoreSearch.java:558,2(4),2(4)
Collection_UnsafeIteratorMonitor @ StoreSearch.java:570,1(0),1(0)
Collection_UnsafeIteratorMonitor @ StoreSearch.java:605,5(2),3(2)
Collection_UnsafeIteratorMonitor @ StoreSearch.java:622,1(0),1(0)
Collection_UnsafeIteratorMonitor @ StoreSearch.java:653,6(10),6(8)
Collection_UnsafeIteratorMonitor @ StoreSearch.java:669,1(0),1(0)
