Loc,Total,Default
Appendable_ThreadSafeMonitor @ BeanUtil.java:248,1(170),1(73)
Appendable_ThreadSafeMonitor @ CaseFormat.java:146,3(8800147),3(29997)
Appendable_ThreadSafeMonitor @ ContextInitializer.java:172,1(2),1(1)
Appendable_ThreadSafeMonitor @ ContextSwitchOverHeadTest.java:196,1(2),1(2)
Appendable_ThreadSafeMonitor @ DataBuilderMeta.java:20,1(15),1(5)
Appendable_ThreadSafeMonitor @ DataBuilderMetadataManager.java:94,1(1),1(1)
Appendable_ThreadSafeMonitor @ DataFlow.java:18,1(1),1(1)
Appendable_ThreadSafeMonitor @ DataFlowBuilderTest.java:52,1(0),1(0)
Appendable_ThreadSafeMonitor @ DefaultPrettyPrinter.java:243,1(0),1(0)
Appendable_ThreadSafeMonitor @ ExecutionGraph.java:14,1(1),1(1)
Appendable_ThreadSafeMonitor @ ExecutionGraphGenerator.java:192,1(0),1(0)
Appendable_ThreadSafeMonitor @ ExecutionGraphGenerator.java:207,1(0),1(0)
Appendable_ThreadSafeMonitor @ FlowTest.java:115,4(20),2(6)
Appendable_ThreadSafeMonitor @ InstantiatingDataBuilderFactory.java:31,1(0),1(0)
Appendable_ThreadSafeMonitor @ InstantiatingDataBuilderFactory.java:44,1(0),1(0)
Appendable_ThreadSafeMonitor @ LoopTest.java:90,4(23),4(23)
Appendable_ThreadSafeMonitor @ MultiThreadedDataFlowExecutor.java:250,1(0),1(0)
Appendable_ThreadSafeMonitor @ MultiThreadedDataFlowExecutor.java:259,1(0),1(0)
Appendable_ThreadSafeMonitor @ MultiThreadedDataFlowExecutor.java:263,1(1),1(1)
Appendable_ThreadSafeMonitor @ MultiThreadedDataFlowExecutor.java:272,1(1),1(1)
Appendable_ThreadSafeMonitor @ MultiThreadedDataFlowExecutorTest.java:52,1(29),1(10)
Appendable_ThreadSafeMonitor @ MultiThreadedDataFlowExecutorTest.java:137,1(29),1(29)
Appendable_ThreadSafeMonitor @ ProfileExecutor.java:58,1(349),1(21)
Appendable_ThreadSafeMonitor @ SimpleDataFlowExecutor.java:101,1(0),1(0)
Appendable_ThreadSafeMonitor @ SimpleDataFlowExecutor.java:110,1(0),1(0)
Appendable_ThreadSafeMonitor @ SimpleDataFlowExecutor.java:114,1(1),1(1)
Appendable_ThreadSafeMonitor @ SingletonImmutableSet.java:102,1(9),1(5)
Appendable_ThreadSafeMonitor @ StackTraceElementProxy.java:37,1(3665),1(218)
Appendable_ThreadSafeMonitor @ TTLLLayout.java:43,2(2347),1(156)
Appendable_ThreadSafeMonitor @ TestBuilderA.java:18,1(14),1(14)
Appendable_ThreadSafeMonitor @ TestBuilderB.java:22,1(10),1(10)
Appendable_ThreadSafeMonitor @ TestBuilderC.java:22,1(14),1(14)
Appendable_ThreadSafeMonitor @ TestBuilderOptional.java:24,1(1),1(1)
Appendable_ThreadSafeMonitor @ ThreadUtils.java:15,1(132707),1(6721)
Appendable_ThreadSafeMonitor @ ThreadUtils.java:17,1(132707),1(6511)
Appendable_ThreadSafeMonitor @ ThrowableProxyConverter.java:180,3(159),1(13)
Arrays_SortBeforeBinarySearchMonitor @ ArrayIterator.java:17,1(0),1(0)
Arrays_SortBeforeBinarySearchMonitor @ COWArrayList.java:51,2(0),2(0)
Arrays_SortBeforeBinarySearchMonitor @ COWArrayList.java:85,1(0),1(0)
Arrays_SortBeforeBinarySearchMonitor @ CyclicBuffer.java:62,1(0),1(0)
Arrays_SortBeforeBinarySearchMonitor @ LoggingEvent.java:112,1(2161),1(92)
Arrays_SortBeforeBinarySearchMonitor @ ObjectArrays.java:36,1(0),1(0)
Arrays_SortBeforeBinarySearchMonitor @ RegularImmutableList.java:35,1(599999),1(9999)
Arrays_SortBeforeBinarySearchMonitor @ RegularImmutableSet.java:42,2(336),1(18)
Arrays_SortBeforeBinarySearchMonitor @ RegularImmutableSet.java:43,1(337),1(41)
CharSequence_NotInMapMonitor @ DataSetAccessor.java:136,1(9007),1(483)
CharSequence_NotInMapMonitor @ DataSetAccessor.java:138,1(479121),1(10000)
CharSequence_NotInMapMonitor @ POJOPropertiesCollector.java:1017,1(18),1(18)
CharSequence_NotInMapMonitor @ POJOPropertiesCollector.java:1019,1(18),1(18)
Closeable_MultipleCloseMonitor @ ObjectMapper.java:4115,1(8),1(8)
Closeable_MultipleCloseMonitor @ WriterBasedJsonGenerator.java:974,1(8),1(8)
Collection_UnsafeIteratorMonitor @ AnnotatedClassResolver.java:157,6(69),6(46)
Collection_UnsafeIteratorMonitor @ AnnotatedFieldCollector.java:46,6(28),5(28)
Collection_UnsafeIteratorMonitor @ AnnotatedMethodCollector.java:45,5(29),4(3)
Collection_UnsafeIteratorMonitor @ AnnotatedMethodCollector.java:90,7(27),7(27)
Collection_UnsafeIteratorMonitor @ AnnotatedMethodMap.java:57,14(54),14(54)
Collection_UnsafeIteratorMonitor @ AnnotationCollector.java:153,2(44),1(2)
Collection_UnsafeIteratorMonitor @ BasicSerializerFactory.java:93,1(0),1(0)
Collection_UnsafeIteratorMonitor @ BasicStatusManager.java:86,1(3),1(1)
Collection_UnsafeIteratorMonitor @ BeanSerializerFactory.java:589,3(11),3(3)
Collection_UnsafeIteratorMonitor @ BeanSerializerFactory.java:695,4(25),4(25)
Collection_UnsafeIteratorMonitor @ ClassUtil.java:133,5(90),4(14)
Collection_UnsafeIteratorMonitor @ Collections2.java:183,11(18005),5(920)
Collection_UnsafeIteratorMonitor @ Collections2.java:203,11(8997),5(438)
Collection_UnsafeIteratorMonitor @ DataBuilderMetadataManager.java:102,6(390),4(48)
Collection_UnsafeIteratorMonitor @ DataBuilderMetadataManager.java:110,6(23),6(23)
Collection_UnsafeIteratorMonitor @ DataBuilderMetadataManager.java:119,4(62),2(4)
Collection_UnsafeIteratorMonitor @ DataFlowExecutor.java:137,3(244066),1(10000)
Collection_UnsafeIteratorMonitor @ DataFlowExecutor.java:154,3(244066),1(9999)
Collection_UnsafeIteratorMonitor @ DataSetAccessor.java:90,6(244065),2(12250)
Collection_UnsafeIteratorMonitor @ ExecutionGraph.java:36,3(0),3(0)
Collection_UnsafeIteratorMonitor @ ExecutionGraph.java:38,2(4),2(4)
Collection_UnsafeIteratorMonitor @ ExecutionGraphGenerator.java:96,13(88),13(34)
Collection_UnsafeIteratorMonitor @ ExecutionGraphGenerator.java:136,9(747),3(45)
Collection_UnsafeIteratorMonitor @ ExecutionGraphGenerator.java:165,11(333),6(43)
Collection_UnsafeIteratorMonitor @ FlowTest.java:114,4(0),4(0)
Collection_UnsafeIteratorMonitor @ ImmutableSet.java:357,43(1392964),7(69993)
Collection_UnsafeIteratorMonitor @ LoggerContext.java:317,1(0),1(0)
Collection_UnsafeIteratorMonitor @ LoopTest.java:89,3(0),3(0)
Collection_UnsafeIteratorMonitor @ MapSerializer.java:900,4(2),4(2)
Collection_UnsafeIteratorMonitor @ MultiThreadedDataFlowExecutor.java:47,4(105010),1(5431)
Collection_UnsafeIteratorMonitor @ MultiThreadedDataFlowExecutor.java:54,6(105013),2(5207)
Collection_UnsafeIteratorMonitor @ MultiThreadedDataFlowExecutor.java:56,4(634096),2(19998)
Collection_UnsafeIteratorMonitor @ MultiThreadedDataFlowExecutor.java:223,2(866163),1(10000)
Collection_UnsafeIteratorMonitor @ MultiThreadedDataFlowExecutor.java:235,2(866160),1(9999)
Collection_UnsafeIteratorMonitor @ MultiThreadedDataFlowExecutor.java:251,1(0),1(0)
Collection_UnsafeIteratorMonitor @ MultiThreadedDataFlowExecutor.java:264,1(1),1(1)
Collection_UnsafeIteratorMonitor @ OptimizedMultiThreadedDataFlowExecutor.java:48,2(3998),1(208)
Collection_UnsafeIteratorMonitor @ OptimizedMultiThreadedDataFlowExecutor.java:55,2(3998),1(189)
Collection_UnsafeIteratorMonitor @ OptimizedMultiThreadedDataFlowExecutor.java:58,3(31997),2(1684)
Collection_UnsafeIteratorMonitor @ OptimizedMultiThreadedDataFlowExecutor.java:242,1(60073),1(3041)
Collection_UnsafeIteratorMonitor @ OptimizedMultiThreadedDataFlowExecutor.java:254,1(60073),1(3130)
Collection_UnsafeIteratorMonitor @ POJOPropertiesCollector.java:329,4(30),4(24)
Collection_UnsafeIteratorMonitor @ POJOPropertiesCollector.java:343,4(30),4(18)
Collection_UnsafeIteratorMonitor @ POJOPropertiesCollector.java:379,6(28),6(28)
Collection_UnsafeIteratorMonitor @ POJOPropertiesCollector.java:460,2(17),1(1)
Collection_UnsafeIteratorMonitor @ POJOPropertiesCollector.java:468,2(17),2(17)
Collection_UnsafeIteratorMonitor @ POJOPropertiesCollector.java:656,6(28),5(26)
Collection_UnsafeIteratorMonitor @ POJOPropertiesCollector.java:705,5(29),5(15)
