Loc,Total,Default
Appendable_ThreadSafeMonitor @ AnnotationHandler.java:207,4(0),4(0)
Appendable_ThreadSafeMonitor @ CallbackTest.java:204,1(0),1(0)
Appendable_ThreadSafeMonitor @ CallbackTest.java:205,1(0),1(0)
Appendable_ThreadSafeMonitor @ CamelCaseBuilder.java:155,4(113),2(20)
Appendable_ThreadSafeMonitor @ CharacterArrayTransform.java:140,1(0),1(0)
Appendable_ThreadSafeMonitor @ HackJobToGrabFloatingTextTest.java:38,1(2),1(2)
Appendable_ThreadSafeMonitor @ HyphenBuilder.java:123,4(98),2(8)
Appendable_ThreadSafeMonitor @ KeyBuilder.java:102,6(361),1(51)
Appendable_ThreadSafeMonitor @ MethodCollector.java:31,1(1),1(1)
Appendable_ThreadSafeMonitor @ NoAnnotationsRequiredTest.java:94,1(0),1(0)
Appendable_ThreadSafeMonitor @ NoAnnotationsRequiredTest.java:102,1(0),1(0)
Appendable_ThreadSafeMonitor @ NoAnnotationsRequiredTest.java:112,1(0),1(0)
Appendable_ThreadSafeMonitor @ NoAnnotationsRequiredTest.java:120,1(0),1(0)
Appendable_ThreadSafeMonitor @ NoAnnotationsRequiredTest.java:130,1(0),1(0)
Appendable_ThreadSafeMonitor @ NoAnnotationsRequiredTest.java:138,1(0),1(0)
Appendable_ThreadSafeMonitor @ NoAnnotationsRequiredTest.java:146,1(0),1(0)
Appendable_ThreadSafeMonitor @ NoAnnotationsRequiredTest.java:154,1(0),1(0)
Appendable_ThreadSafeMonitor @ NoAnnotationsRequiredTest.java:162,1(0),1(0)
Appendable_ThreadSafeMonitor @ NoAnnotationsRequiredTest.java:170,1(0),1(0)
Appendable_ThreadSafeMonitor @ NodeReader.java:301,38(102202),38(102202)
Appendable_ThreadSafeMonitor @ OutputBuffer.java:73,56(2996),12(141)
Appendable_ThreadSafeMonitor @ OutputBuffer.java:129,67(3071),9(140)
Appendable_ThreadSafeMonitor @ PackageParser.java:17,1(8),1(8)
Appendable_ThreadSafeMonitor @ PackageParser.java:21,1(55),1(7)
Appendable_ThreadSafeMonitor @ PathParser.java:303,1(53),1(13)
Appendable_ThreadSafeMonitor @ PathParser.java:349,1(6),1(2)
Appendable_ThreadSafeMonitor @ PathParser.java:463,4(29),4(29)
Appendable_ThreadSafeMonitor @ PathParser.java:466,5(75),2(11)
Appendable_ThreadSafeMonitor @ PathParserTest.java:319,1(13),1(2)
Appendable_ThreadSafeMonitor @ PerformanceTest.java:229,1(0),1(0)
Appendable_ThreadSafeMonitor @ PerformanceTest.java:230,1(0),1(0)
Appendable_ThreadSafeMonitor @ PerformanceTest.java:234,1(0),1(0)
Appendable_ThreadSafeMonitor @ ProviderInformationTest.java:135,1(0),1(0)
Appendable_ThreadSafeMonitor @ Reflection.java:71,1(0),1(0)
Appendable_ThreadSafeMonitor @ SignatureBuilderTest.java:75,1(26),1(3)
Appendable_ThreadSafeMonitor @ SimpleConstructorInjectionTest.java:22,1(0),1(0)
Appendable_ThreadSafeMonitor @ StackOverflowTest.java:62,1(0),1(0)
Appendable_ThreadSafeMonitor @ StringArrayTransform.java:154,3(4530),1(302)
Appendable_ThreadSafeMonitor @ Timer.java:40,1(0),1(0)
Appendable_ThreadSafeMonitor @ ValidationTestCase.java:68,1(14),1(6)
Appendable_ThreadSafeMonitor @ ValidationTestCase.java:98,1(31),1(31)
Appendable_ThreadSafeMonitor @ ValidationTestCase.java:112,1(20),1(20)
Appendable_ThreadSafeMonitor @ ValidationTestCase.java:177,1(13),1(3)
Appendable_ThreadSafeMonitor @ ValidationTestCase.java:179,1(39),1(39)
Appendable_ThreadSafeMonitor @ ValidationTestCase.java:287,1(2),1(2)
