Loc,Total,Default
Appendable_ThreadSafeMonitor @ Builder.java:110,1(0),1(0)
Appendable_ThreadSafeMonitor @ FunctionalImpl.java:633,2(8),2(8)
Appendable_ThreadSafeMonitor @ Iterables.java:677,5(56),5(24)
Appendable_ThreadSafeMonitor @ Iterables.java:715,1(19),1(19)
Appendable_ThreadSafeMonitor @ Iterables.java:740,6(11),6(11)
Appendable_ThreadSafeMonitor @ Match.java:38,1(0),1(0)
Appendable_ThreadSafeMonitor @ Match.java:58,1(2),1(2)
Appendable_ThreadSafeMonitor @ Match.java:68,1(2),1(2)
Appendable_ThreadSafeMonitor @ Match.java:85,1(7),1(4)
Appendable_ThreadSafeMonitor @ Match.java:129,1(1),1(1)
Appendable_ThreadSafeMonitor @ Match.java:155,1(0),1(0)
Appendable_ThreadSafeMonitor @ Match.java:163,1(1),1(1)
Appendable_ThreadSafeMonitor @ Match.java:207,1(2),1(2)
Appendable_ThreadSafeMonitor @ Match.java:231,1(1),1(1)
Appendable_ThreadSafeMonitor @ Match.java:236,1(1),1(1)
Appendable_ThreadSafeMonitor @ SortTest.java:32,1(5),1(2)
Appendable_ThreadSafeMonitor @ SortTest.java:41,1(29),1(28)
Appendable_ThreadSafeMonitor @ SortTest.java:55,1(29),1(4)
Appendable_ThreadSafeMonitor @ SortTest.java:61,1(29),1(29)
ByteArrayOutputStream_FlushBeforeRetrieveMonitor @ PairTest.java:35,1(0),1(0)
Closeable_MultipleCloseMonitor @ PairTest.java:37,1(0),1(0)
Closeable_MultipleCloseMonitor @ PairTest.java:41,1(0),1(0)
Collection_UnsafeIteratorMonitor @ FunctionalImpl.java:114,1(0),1(0)
Collection_UnsafeIteratorMonitor @ FunctionalImpl.java:120,1(0),1(0)
Collection_UnsafeIteratorMonitor @ FunctionalImpl.java:193,1(12),1(4)
Collection_UnsafeIteratorMonitor @ FunctionalImpl.java:258,4(2),4(2)
Collection_UnsafeIteratorMonitor @ FunctionalImpl.java:302,1(1),1(1)
Collection_UnsafeIteratorMonitor @ FunctionalImpl.java:437,1(130),1(54)
Collection_UnsafeIteratorMonitor @ Iterables.java:74,3(7),3(7)
Collection_UnsafeIteratorMonitor @ Iterables.java:83,14(372),5(22)
Collection_UnsafeIteratorMonitor @ Iterables.java:273,4(27),4(27)
Collection_UnsafeIteratorMonitor @ Iterables.java:274,3(28),1(4)
Collection_UnsafeIteratorMonitor @ Iterables.java:325,100(255),4(29)
Collection_UnsafeIteratorMonitor @ Iterables.java:412,1(2),1(2)
Collection_UnsafeIteratorMonitor @ Iterables.java:477,4(18),4(18)
Collection_UnsafeIteratorMonitor @ Iterables.java:543,7(304),1(15)
Collection_UnsafeIteratorMonitor @ Iterables.java:769,3(7),3(7)
Collection_UnsafeIteratorMonitor @ Iterables.java:816,10(20),10(20)
Collection_UnsafeIteratorMonitor @ Iterables.java:874,6(5),4(2)
Collection_UnsafeIteratorMonitor @ Iterables.java:929,12(12),12(12)
Collection_UnsafeIteratorMonitor @ Option.java:135,1(0),1(0)
Collection_UnsafeIteratorMonitor @ Option.java:198,4(564),1(27)
Collection_UnsynchronizedAddAllMonitor @ Collections.java:919,1(199),1(50)
Collection_UnsynchronizedAddAllMonitor @ Iterables.java:327,1(101),1(34)
Collection_UnsynchronizedAddAllMonitor @ Iterables.java:809,1(29),1(18)
Collections_SortBeforeBinarySearchMonitor @ Collections.java:919,1(199),1(14)
Collections_SortBeforeBinarySearchMonitor @ Collections.java:922,11(358),2(21)
Collections_SortBeforeBinarySearchMonitor @ Iterables.java:327,2(99),2(72)
Collections_SortBeforeBinarySearchMonitor @ Iterables.java:329,100(154),83(18)
Collections_SortBeforeBinarySearchMonitor @ Iterables.java:809,1(29),1(28)
Collections_SortBeforeBinarySearchMonitor @ Match.java:139,2(3),2(3)
Collections_SortBeforeBinarySearchMonitor @ Match.java:151,2(0),2(0)
Collections_SortBeforeBinarySearchMonitor @ SortTest.java:51,1(29),1(15)
InputStream_ManipulateAfterCloseMonitor @ PairTest.java:41,1(0),1(0)
InputStream_MarkAfterCloseMonitor @ PairTest.java:41,1(0),1(0)
Iterator_HasNextMonitor @ Builder.java:213,2(0),2(0)
Iterator_HasNextMonitor @ Collections.java:911,2(535),1(35)
Iterator_HasNextMonitor @ Collections.java:921,17(351),8(39)
Iterator_HasNextMonitor @ Collections.java:945,1(0),1(0)
