Loc,Total,Default
Appendable_ThreadSafeMonitor @ ArboTest.java:67,1(7),1(7)
Appendable_ThreadSafeMonitor @ ArboTest.java:77,1(2),1(2)
Appendable_ThreadSafeMonitor @ ArborescenceTest.java:85,1(19),1(19)
Appendable_ThreadSafeMonitor @ ArborescenceTest.java:98,1(0),1(0)
Appendable_ThreadSafeMonitor @ ArborescenceTest.java:111,1(2),1(2)
Appendable_ThreadSafeMonitor @ BitsetIntVarImpl.java:661,1(4),1(4)
Appendable_ThreadSafeMonitor @ BoolNotView.java:41,1(15778),1(840)
Appendable_ThreadSafeMonitor @ Constraint.java:168,1(7),1(7)
Appendable_ThreadSafeMonitor @ DirectedGraph.java:96,2(2),2(2)
Appendable_ThreadSafeMonitor @ DirectedGraphVar.java:65,1(577335),1(9999)
Appendable_ThreadSafeMonitor @ GraphTest.java:34,1(3),1(3)
Appendable_ThreadSafeMonitor @ GraphTest.java:38,1(2),1(2)
Appendable_ThreadSafeMonitor @ GraphTest.java:66,1(2),1(2)
Appendable_ThreadSafeMonitor @ GraphVar.java:301,2(4),2(4)
Appendable_ThreadSafeMonitor @ GraphVar.java:407,11(27),5(9)
Appendable_ThreadSafeMonitor @ GraphVar.java:409,1(60),1(14)
Appendable_ThreadSafeMonitor @ GraphVar.java:413,1(25),1(13)
Appendable_ThreadSafeMonitor @ GraphVar.java:418,1(31),1(9)
Appendable_ThreadSafeMonitor @ GraphVar.java:423,1(58),1(40)
Appendable_ThreadSafeMonitor @ IGraphConstraintFactory.java:1085,1(643),1(50)
Appendable_ThreadSafeMonitor @ IGraphConstraintFactory.java:1137,1(613),1(75)
Appendable_ThreadSafeMonitor @ IMeasures.java:157,1(0),1(0)
Appendable_ThreadSafeMonitor @ IMeasures.java:162,1(0),1(0)
Appendable_ThreadSafeMonitor @ IMeasures.java:205,3(1),3(1)
Appendable_ThreadSafeMonitor @ IMeasures.java:229,1(3),1(3)
Appendable_ThreadSafeMonitor @ IVariableFactory.java:48,1(168),1(44)
Appendable_ThreadSafeMonitor @ IVariableFactory.java:59,1(1700),1(71)
Appendable_ThreadSafeMonitor @ IVariableFactory.java:63,1(1609),1(88)
Appendable_ThreadSafeMonitor @ IVariableFactory.java:106,1(8570),1(430)
Appendable_ThreadSafeMonitor @ IVariableFactory.java:150,1(2478),1(137)
Appendable_ThreadSafeMonitor @ IVariableFactory.java:202,1(1652),1(91)
Appendable_ThreadSafeMonitor @ IVariableFactory.java:206,1(1507),1(74)
Appendable_ThreadSafeMonitor @ IVariableFactory.java:890,1(17042),1(839)
Appendable_ThreadSafeMonitor @ PropArborescences.java:177,1(3679),1(193)
Appendable_ThreadSafeMonitor @ Propagator.java:780,2(6),1(2)
Appendable_ThreadSafeMonitor @ Set_Std_BitSet.java:117,3(3),3(3)
Appendable_ThreadSafeMonitor @ Set_Std_BitSet.java:119,1(1),1(1)
Appendable_ThreadSafeMonitor @ SymmetryBreakingDirectedTest.java:115,1(139),1(31)
Appendable_ThreadSafeMonitor @ SymmetryBreakingTest.java:126,1(221),1(23)
Appendable_ThreadSafeMonitor @ UndirectedGraph.java:91,2(2),2(2)
Arrays_SortBeforeBinarySearchMonitor @ CircularQueue.java:54,1(8359),1(420)
Arrays_SortBeforeBinarySearchMonitor @ CircularQueue.java:296,1(861),1(59)
Arrays_SortBeforeBinarySearchMonitor @ THashMap.java:129,1(0),1(0)
Arrays_SortBeforeBinarySearchMonitor @ TIntObjectHashMap.java:143,1(1671),1(132)
Arrays_SortBeforeBinarySearchMonitor @ TIntObjectHashMap.java:158,1(0),1(0)
Arrays_SortBeforeBinarySearchMonitor @ TObjectHash.java:118,1(0),1(0)
Collection_UnsafeIteratorMonitor @ PropGirth.java:90,100(3016845),1(10000)
Collection_UnsafeIteratorMonitor @ PropGirth.java:110,261(1924303),15(96182)
Collection_UnsafeIteratorMonitor @ PropSizeMaxCC.java:101,1(0),1(0)
Collection_UnsafeIteratorMonitor @ PropSizeMaxCC.java:102,1(0),1(0)
Collection_UnsafeIteratorMonitor @ PropSizeMaxCC.java:192,1(0),1(0)
Collection_UnsafeIteratorMonitor @ PropSizeMinCC.java:114,3(21),3(21)
Collection_UnsafeIteratorMonitor @ PropSizeMinCC.java:128,4(16),4(16)
Collection_UnsafeIteratorMonitor @ PropSizeMinCC.java:143,1(21),1(21)
Collection_UnsafeIteratorMonitor @ PropSizeMinCC.java:146,1(16),1(16)
Collection_UnsafeIteratorMonitor @ PropSizeMinCC.java:228,1(5),1(2)
Collection_UnsafeIteratorMonitor @ PropSizeMinCC.java:237,2(1),2(1)
Collection_UnsafeIteratorMonitor @ PropSizeMinCC.java:238,1(0),1(0)
Collection_UnsafeIteratorMonitor @ PropSizeMinCC.java:319,3(28),3(28)
Collection_UnsafeIteratorMonitor @ SymmetryBreakingTest.java:56,13(901),3(40)
Collections_SortBeforeBinarySearchMonitor @ DecisionPath.java:55,199(637),10(41)
Collections_SortBeforeBinarySearchMonitor @ GraphModel.java:86,1(324),1(38)
Collections_SortBeforeBinarySearchMonitor @ IResolutionHelper.java:144,4(0),4(0)
Collections_SortBeforeBinarySearchMonitor @ Search.java:457,9(147),1(11)
Collections_SortBeforeBinarySearchMonitor @ Search.java:487,2(154),1(11)
Collections_SortBeforeBinarySearchMonitor @ Search.java:511,1(168),1(17)
Collections_SortBeforeBinarySearchMonitor @ SearchMonitorList.java:176,2(323),2(35)
Collections_SortBeforeBinarySearchMonitor @ SearchMonitorList.java:188,1(324),1(30)
Collections_SortBeforeBinarySearchMonitor @ SearchMonitorList.java:191,2(323),1(15)
Iterator_HasNextMonitor @ AbstractLengauerTarjanDominatorsFinder.java:133,329(85),329(85)
Iterator_HasNextMonitor @ AbstractLengauerTarjanDominatorsFinder.java:162,278(86),278(86)
Iterator_HasNextMonitor @ AbstractLengauerTarjanDominatorsFinder.java:269,329(85),329(85)
Iterator_HasNextMonitor @ ConnectivityFinder.java:127,24(2),24(2)
Iterator_HasNextMonitor @ ConnectivityFinder.java:159,89(50),34(16)
Iterator_HasNextMonitor @ DirectedGraph.java:98,2(0),2(0)
