Loc,Total,Default
Appendable_ThreadSafeMonitor @ AbstractConditionWordCheck.java:61,14(254),6(35)
Appendable_ThreadSafeMonitor @ AbstractSensitiveWord.java:54,2(0),2(0)
Appendable_ThreadSafeMonitor @ InnerWordFormatUtils.java:41,49(2150349),7(69993)
Appendable_ThreadSafeMonitor @ MySensitiveTest.java:24,1(0),1(0)
Appendable_ThreadSafeMonitor @ MyWordReplace.java:21,1(0),1(0)
Appendable_ThreadSafeMonitor @ WordCheckWord.java:63,9(683),4(45)
Appendable_ThreadSafeMonitor @ WordReplaceChar.java:35,1(3),1(3)
Appendable_ThreadSafeMonitor @ WordResult.java:41,1(6),1(6)
Closeable_MultipleCloseMonitor @ DataUtil.java:56,1(1),1(1)
Collection_UnsafeIteratorMonitor @ AbstractSensitiveWord.java:48,3(4),2(4)
Collection_UnsafeIteratorMonitor @ CollectionUtil.java:186,4(30),4(30)
Collection_UnsafeIteratorMonitor @ InnerWordFormatUtils.java:88,5(73),2(8)
Collection_UnsafeIteratorMonitor @ WordAllowDenyCombine.java:25,5(34),4(23)
Collection_UnsafeIteratorMonitor @ WordAllowInit.java:35,1(1),1(1)
Collection_UnsafeIteratorMonitor @ WordCheckInit.java:34,5(687),1(35)
Collection_UnsafeIteratorMonitor @ WordChecks.java:70,1(691),1(41)
Collection_UnsafeIteratorMonitor @ WordDataTree.java:33,4(35),3(25)
Collection_UnsafeIteratorMonitor @ WordDenyInit.java:36,1(2),1(2)
Collection_UnsafeIteratorMonitor @ WordFormatInit.java:36,1(13584983),1(9999)
Collection_UnsafeIteratorMonitor @ WordFormats.java:55,1(13584983),1(9999)
Collection_UnsynchronizedAddAllMonitor @ WordAllowInit.java:37,1(3),1(3)
Collection_UnsynchronizedAddAllMonitor @ WordDenyInit.java:38,1(5),1(4)
Collection_UnsynchronizedAddAllMonitor @ WordDenySystem.java:29,1(32),1(32)
Collection_UnsynchronizedAddAllMonitor @ WordDenySystem.java:30,1(32),1(7)
Collections_SortBeforeBinarySearchMonitor @ CollectionUtil.java:207,3(25),2(4)
Collections_SortBeforeBinarySearchMonitor @ DataUtil.java:73,3(4185),1(228)
Collections_SortBeforeBinarySearchMonitor @ DefaultPipeline.java:25,3(13585678),1(9999)
Collections_SortBeforeBinarySearchMonitor @ InnerWordFormatUtils.java:90,5(73),1(3)
Collections_SortBeforeBinarySearchMonitor @ SensitiveWord.java:73,3(48),3(17)
Collections_SortBeforeBinarySearchMonitor @ StreamUtil.java:204,4(133),4(23)
Collections_SortBeforeBinarySearchMonitor @ WordAllowInit.java:37,1(1),1(1)
Collections_SortBeforeBinarySearchMonitor @ WordCheckCombine.java:21,1(38),1(10)
Collections_SortBeforeBinarySearchMonitor @ WordDenyInit.java:38,1(2),1(2)
Collections_SortBeforeBinarySearchMonitor @ WordFormatCombine.java:20,1(38),1(17)
Console_CloseReaderMonitor @ DataUtil.java:56,1(0),1(0)
InputStream_ManipulateAfterCloseMonitor @ DataUtil.java:56,1(0),1(0)
InputStream_MarkAfterCloseMonitor @ DataUtil.java:56,1(0),1(0)
Iterator_HasNextMonitor @ AbstractSensitiveWord.java:48,3(4),3(4)
Iterator_HasNextMonitor @ CollectionUtil.java:204,4(30),3(5)
Iterator_HasNextMonitor @ InnerWordFormatUtils.java:88,5(73),5(17)
Iterator_HasNextMonitor @ WordAllowDenyCombine.java:25,5(34),4(2)
Iterator_HasNextMonitor @ WordAllowInit.java:35,1(1),1(1)
Iterator_HasNextMonitor @ WordCheckInit.java:34,5(687),2(58)
Iterator_HasNextMonitor @ WordChecks.java:70,1(691),1(43)
Iterator_HasNextMonitor @ WordDataTree.java:33,4(35),3(5)
Iterator_HasNextMonitor @ WordDenyInit.java:36,1(2),1(2)
Iterator_HasNextMonitor @ WordFormatInit.java:36,1(13584983),1(9999)
Iterator_HasNextMonitor @ WordFormats.java:55,1(13584983),1(10000)
Iterator_RemoveOnceMonitor @ AbstractSensitiveWord.java:48,3(4),3(4)
Iterator_RemoveOnceMonitor @ CollectionUtil.java:205,3(25),3(25)
Iterator_RemoveOnceMonitor @ InnerWordFormatUtils.java:88,5(73),4(5)
Iterator_RemoveOnceMonitor @ WordAllowDenyCombine.java:25,5(34),4(25)
Iterator_RemoveOnceMonitor @ WordAllowInit.java:35,1(1),1(1)
Iterator_RemoveOnceMonitor @ WordCheckInit.java:34,4(688),2(35)
Iterator_RemoveOnceMonitor @ WordChecks.java:70,1(691),1(92)
Iterator_RemoveOnceMonitor @ WordDataTree.java:33,4(35),3(6)
Iterator_RemoveOnceMonitor @ WordDenyInit.java:36,1(2),1(2)
Iterator_RemoveOnceMonitor @ WordFormatInit.java:36,1(13584983),1(9999)
Iterator_RemoveOnceMonitor @ WordFormats.java:55,1(13584983),1(10000)
Reader_ManipulateAfterCloseMonitor @ DataUtil.java:56,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ AbstractConditionWordCheck.java:61,34(234),34(234)
StringBuilder_ThreadSafeMonitor @ AbstractSensitiveWord.java:54,2(0),2(0)
StringBuilder_ThreadSafeMonitor @ InnerWordFormatUtils.java:41,49(2150349),12(107678)
StringBuilder_ThreadSafeMonitor @ MySensitiveTest.java:24,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ MyWordReplace.java:21,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ WordCheckEmail.java:49,1(462),1(41)
StringBuilder_ThreadSafeMonitor @ WordCheckNum.java:38,1(579),1(32)
StringBuilder_ThreadSafeMonitor @ WordCheckUrl.java:46,1(464),1(44)
StringBuilder_ThreadSafeMonitor @ WordCheckWord.java:63,13(679),5(56)
StringBuilder_ThreadSafeMonitor @ WordReplaceChar.java:35,1(3),1(3)
StringBuilder_ThreadSafeMonitor @ WordResult.java:41,1(6),1(6)
__TOTAL__,308(99408930),178(249024)
