Loc,Total,Default
Appendable_ThreadSafeMonitor @ XmlDocument.java:68,1(16816011),1(9999)
Collection_UnsafeIteratorMonitor @ FramesetListTest.java:36,6(17685),3(940)
Collection_UnsafeIteratorMonitor @ FramesetListTest.java:55,6(17685),3(936)
Collection_UnsafeIteratorMonitor @ PredicateListTest.java:26,1(0),1(0)
Collection_UnsafeIteratorMonitor @ PredicateListTest.java:35,1(0),1(0)
Collection_UnsafeIteratorMonitor @ PredicateListTest.java:46,1(0),1(0)
Collection_UnsafeIteratorMonitor @ PredicateListTest.java:79,1(0),1(0)
Collection_UnsafeIteratorMonitor @ XmlElement.java:64,3(865163),2(19998)
Collections_SortBeforeBinarySearchMonitor @ Frameset.java:33,5(70443),3(3563)
Collections_SortBeforeBinarySearchMonitor @ FramesetList.java:26,1(3),1(3)
Collections_SortBeforeBinarySearchMonitor @ Predicate.java:35,14(43261),3(2170)
Collections_SortBeforeBinarySearchMonitor @ RoleSet.java:47,7(53343),5(2679)
Collections_SortBeforeBinarySearchMonitor @ XmlElement.java:89,3(421902),2(19999)
Iterator_HasNextMonitor @ FramesetListTest.java:36,6(17685),3(864)
Iterator_HasNextMonitor @ FramesetListTest.java:55,6(17685),3(997)
Iterator_HasNextMonitor @ PredicateListTest.java:26,1(0),1(0)
Iterator_HasNextMonitor @ PredicateListTest.java:35,1(0),1(0)
Iterator_HasNextMonitor @ PredicateListTest.java:46,1(0),1(0)
Iterator_HasNextMonitor @ PredicateListTest.java:79,1(0),1(0)
Iterator_HasNextMonitor @ XmlElement.java:64,3(865163),2(19998)
Iterator_RemoveOnceMonitor @ FramesetListTest.java:36,5(17607),3(910)
Iterator_RemoveOnceMonitor @ FramesetListTest.java:55,5(17607),2(905)
Iterator_RemoveOnceMonitor @ PredicateListTest.java:26,1(0),1(0)
Iterator_RemoveOnceMonitor @ PredicateListTest.java:35,1(0),1(0)
Iterator_RemoveOnceMonitor @ PredicateListTest.java:46,1(0),1(0)
Iterator_RemoveOnceMonitor @ PredicateListTest.java:79,1(0),1(0)
Iterator_RemoveOnceMonitor @ XmlElement.java:64,3(865163),2(19998)
Map_CollectionViewAddMonitor @ PredicateList.java:91,1(3),1(3)
Map_UnsafeIteratorMonitor @ PredicateList.java:91,1(3),1(3)
Map_UnsafeIteratorMonitor @ PredicateListTest.java:26,1(0),1(0)
Map_UnsafeIteratorMonitor @ PredicateListTest.java:35,1(0),1(0)
Map_UnsafeIteratorMonitor @ PredicateListTest.java:46,1(0),1(0)
Map_UnsafeIteratorMonitor @ PredicateListTest.java:79,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ XmlDocument.java:68,1(16816011),1(9999)
__TOTAL__,93(36922423),57(113964)
