StringBuilder_ThreadSafe @ Doubles.java:594: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ Doubles.java:596: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ Doubles.java:597: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ ExampleBuilder.java:84: 1 Unique Traces, 4200878 Redundant Traces, 1 Preserved, 9999 Remained 
StringBuilder_ThreadSafe @ ExampleBuilder.java:97: 1 Unique Traces, 4200881 Redundant Traces, 1 Preserved, 9999 Remained 
StringBuilder_ThreadSafe @ ExampleBuilder.java:100: 2 Unique Traces, 4200879 Redundant Traces, 1 Preserved, 19999 Remained 
StringBuilder_ThreadSafe @ ExampleBuilder.java:112: 1 Unique Traces, 8401755 Redundant Traces, 1 Preserved, 9999 Remained 
StringBuilder_ThreadSafe @ ExampleBuilder.java:113: 1 Unique Traces, 8401755 Redundant Traces, 1 Preserved, 9999 Remained 
StringBuilder_ThreadSafe @ ExampleBuilder.java:116: 1 Unique Traces, 2100438 Redundant Traces, 1 Preserved, 9999 Remained 
StringBuilder_ThreadSafe @ ExampleBuilder.java:128: 2 Unique Traces, 7941363 Redundant Traces, 1 Preserved, 19999 Remained 
StringBuilder_ThreadSafe @ ExampleBuilder.java:142: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ ExampleBuilder.java:145: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ ExampleBuilder.java:148: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ ExampleBuilder.java:155: 2 Unique Traces, 14242684 Redundant Traces, 1 Preserved, 19999 Remained 
StringBuilder_ThreadSafe @ ExampleBuilder.java:174: 1 Unique Traces, 2100440 Redundant Traces, 1 Preserved, 9999 Remained 
StringBuilder_ThreadSafe @ ExampleBuilder.java:241: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ ExampleBuilder.java:257: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ ExampleBuilder.java:264: 1 Unique Traces, 14242688 Redundant Traces, 1 Preserved, 9999 Remained 
StringBuilder_ThreadSafe @ ExampleBuilder.java:268: 1 Unique Traces, 14242684 Redundant Traces, 1 Preserved, 9999 Remained 
StringBuilder_ThreadSafe @ ExampleBuilder.java:301: 2 Unique Traces, 5020901 Redundant Traces, 1 Preserved, 19999 Remained 
StringBuilder_ThreadSafe @ IntegrationSuite.java:135: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ Joiner.java:193: 1 Unique Traces, 5020950 Redundant Traces, 1 Preserved, 9999 Remained 
StringBuilder_ThreadSafe @ Metrics.java:81: 1 Unique Traces, 31 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ NativeUtils.java:70: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ NativeUtils.java:75: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ NativeUtils.java:109: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ NativeUtils.java:154: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ NativeUtils.java:173: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ ProgressiveValidation.java:39: 1 Unique Traces, 63 Redundant Traces, 1 Preserved, 5 Remained 
StringBuilder_ThreadSafe @ TestOnMovieLensDataset.java:88: 1 Unique Traces, 2100438 Redundant Traces, 1 Preserved, 9999 Remained 
StringBuilder_ThreadSafe @ VowpalWabbit.java:308: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
StringBuilder_ThreadSafe @ VowpalWabbit.java:326: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ VowpalWabbit.java:432: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ VowpalWabbit.java:1001: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ VowpalWabbit.java:1357: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ VowpalWabbit.java:1366: 1 Unique Traces, 13 Redundant Traces, 1 Preserved, 7 Remained 
StringTokenizer_HasMoreElements @ PropertyConfigurator.java:736: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Throwable_InitCauseOnce @ LoggingEvent.java:253: 1 Unique Traces, 49 Redundant Traces, 1 Preserved, 6 Remained 
Throwable_InitCauseOnce @ Preconditions.java:125: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
URLConnection_Connect @ PropertyConfigurator.java:557: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
URLConnection_SetBeforeConnect @ PropertyConfigurator.java:556: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
