Loc,Total,Default
Appendable_ThreadSafeMonitor @ AuxiliaryType.java:166,1(1),1(0)
Appendable_ThreadSafeMonitor @ ClassFileVersion.java:545,1(0),1(0)
Appendable_ThreadSafeMonitor @ EntryDefault.java:69,1(165570),1(8389)
Appendable_ThreadSafeMonitor @ FieldAccessor.java:361,1(1),1(1)
Appendable_ThreadSafeMonitor @ Implementation.java:1281,1(7),1(5)
Appendable_ThreadSafeMonitor @ Implementation.java:1458,1(1),1(1)
Appendable_ThreadSafeMonitor @ JavaDispatcher.java:226,1(6),1(6)
Appendable_ThreadSafeMonitor @ JavaDispatcher.java:1316,1(0),1(0)
Appendable_ThreadSafeMonitor @ JavaDispatcher.java:1383,1(0),1(0)
Appendable_ThreadSafeMonitor @ LeafDefault.java:61,1(5),1(5)
Appendable_ThreadSafeMonitor @ MethodCallProxy.java:145,1(1),1(1)
Appendable_ThreadSafeMonitor @ MethodDescription.java:523,3(25),2(9)
Appendable_ThreadSafeMonitor @ NamingStrategy.java:184,1(1),1(1)
Appendable_ThreadSafeMonitor @ NamingStrategy.java:186,1(2),1(2)
Appendable_ThreadSafeMonitor @ NamingStrategy.java:454,1(2),1(1)
Appendable_ThreadSafeMonitor @ NodePosition.java:36,1(0),1(0)
Appendable_ThreadSafeMonitor @ NonLeafDefault.java:64,1(0),1(0)
Appendable_ThreadSafeMonitor @ PointDouble.java:43,1(139178),1(6867)
Appendable_ThreadSafeMonitor @ RTree.java:437,1(165552),1(8139)
Appendable_ThreadSafeMonitor @ RTree.java:916,3(0),3(0)
Appendable_ThreadSafeMonitor @ RTree.java:924,1(1),1(1)
Appendable_ThreadSafeMonitor @ RTreeTest.java:164,1(0),1(0)
Appendable_ThreadSafeMonitor @ RTreeTest.java:171,1(0),1(0)
Appendable_ThreadSafeMonitor @ RTreeTest.java:172,1(0),1(0)
Appendable_ThreadSafeMonitor @ RTreeTest.java:831,1(1),1(1)
Appendable_ThreadSafeMonitor @ RandomString.java:49,1(0),1(0)
Appendable_ThreadSafeMonitor @ RectangleDouble.java:68,1(26402),1(1318)
Appendable_ThreadSafeMonitor @ RxJavaPlugins.java:293,1(0),1(0)
Appendable_ThreadSafeMonitor @ SignatureWriter.java:123,3(3),3(3)
Appendable_ThreadSafeMonitor @ SignatureWriter.java:132,2(14),2(14)
Appendable_ThreadSafeMonitor @ SignatureWriter.java:164,2(1),2(1)
Appendable_ThreadSafeMonitor @ Type.java:548,1(2),1(2)
Appendable_ThreadSafeMonitor @ Type.java:565,3(1),3(1)
Appendable_ThreadSafeMonitor @ Type.java:582,7(15),7(15)
Appendable_ThreadSafeMonitor @ Type.java:616,1(1),1(1)
Appendable_ThreadSafeMonitor @ Type.java:642,1(35),1(8)
Appendable_ThreadSafeMonitor @ Type.java:644,1(72),1(18)
Appendable_ThreadSafeMonitor @ TypeDescription.java:8371,1(11),1(11)
Arrays_SortBeforeBinarySearchMonitor @ AnnotationDescription.java:637,1(0),1(0)
Arrays_SortBeforeBinarySearchMonitor @ Implementation.java:608,1(0),1(0)
Arrays_SortBeforeBinarySearchMonitor @ JavaDispatcher.java:1005,1(0),1(0)
Arrays_SortBeforeBinarySearchMonitor @ JavaDispatcher.java:1115,1(0),1(0)
Arrays_SortBeforeBinarySearchMonitor @ JavaDispatcher.java:1203,1(0),1(0)
CharSequence_NotInMapMonitor @ DynamicType.java:6090,1(0),1(0)
CharSequence_NotInMapMonitor @ DynamicType.java:6101,1(0),1(0)
Closeable_MultipleCloseMonitor @ Stream.java:403,1(0),1(0)
Collection_UnsafeIteratorMonitor @ AllArguments.java:206,3(13),3(13)
Collection_UnsafeIteratorMonitor @ AnnotationAppender.java:643,1(12),1(8)
Collection_UnsafeIteratorMonitor @ AnnotationAppender.java:743,1(40),1(33)
Collection_UnsafeIteratorMonitor @ AnnotationDescription.java:578,4(18),3(2)
