Loc,Total,Default
Appendable_ThreadSafeMonitor @ BeanUtil.java:248,1(170),1(13)
Appendable_ThreadSafeMonitor @ CaseFormat.java:146,3(8800147),3(29997)
Appendable_ThreadSafeMonitor @ ContextInitializer.java:172,1(2),1(2)
Appendable_ThreadSafeMonitor @ ContextSwitchOverHeadTest.java:196,1(2),1(2)
Appendable_ThreadSafeMonitor @ DataBuilderMeta.java:20,1(15),1(15)
Appendable_ThreadSafeMonitor @ DataBuilderMetadataManager.java:94,1(1),1(1)
Appendable_ThreadSafeMonitor @ DataFlow.java:18,1(1),1(1)
Appendable_ThreadSafeMonitor @ DataFlowBuilderTest.java:52,1(0),1(0)
Appendable_ThreadSafeMonitor @ DefaultPrettyPrinter.java:243,1(0),1(0)
Appendable_ThreadSafeMonitor @ ExecutionGraph.java:14,1(1),1(1)
Appendable_ThreadSafeMonitor @ ExecutionGraphGenerator.java:192,1(0),1(0)
Appendable_ThreadSafeMonitor @ ExecutionGraphGenerator.java:207,1(0),1(0)
Appendable_ThreadSafeMonitor @ FlowTest.java:115,4(20),4(20)
Appendable_ThreadSafeMonitor @ InstantiatingDataBuilderFactory.java:31,1(0),1(0)
Appendable_ThreadSafeMonitor @ InstantiatingDataBuilderFactory.java:44,1(0),1(0)
Appendable_ThreadSafeMonitor @ LoopTest.java:90,4(23),3(11)
Appendable_ThreadSafeMonitor @ MultiThreadedDataFlowExecutor.java:250,1(0),1(0)
Appendable_ThreadSafeMonitor @ MultiThreadedDataFlowExecutor.java:259,1(0),1(0)
Appendable_ThreadSafeMonitor @ MultiThreadedDataFlowExecutor.java:263,1(1),1(1)
Appendable_ThreadSafeMonitor @ MultiThreadedDataFlowExecutor.java:272,1(1),1(1)
Appendable_ThreadSafeMonitor @ MultiThreadedDataFlowExecutorTest.java:52,1(29),1(5)
Appendable_ThreadSafeMonitor @ MultiThreadedDataFlowExecutorTest.java:137,1(29),1(8)
Appendable_ThreadSafeMonitor @ ProfileExecutor.java:58,1(349),1(31)
Appendable_ThreadSafeMonitor @ SimpleDataFlowExecutor.java:101,1(0),1(0)
Appendable_ThreadSafeMonitor @ SimpleDataFlowExecutor.java:110,1(0),1(0)
Appendable_ThreadSafeMonitor @ SimpleDataFlowExecutor.java:114,1(1),1(1)
Appendable_ThreadSafeMonitor @ SingletonImmutableSet.java:102,1(9),1(9)
Appendable_ThreadSafeMonitor @ StackTraceElementProxy.java:37,1(3665),1(244)
Appendable_ThreadSafeMonitor @ TTLLLayout.java:43,2(2347),1(123)
Appendable_ThreadSafeMonitor @ TestBuilderA.java:18,1(14),1(12)
Appendable_ThreadSafeMonitor @ TestBuilderB.java:22,1(10),1(10)
Appendable_ThreadSafeMonitor @ TestBuilderC.java:22,1(14),1(1)
Appendable_ThreadSafeMonitor @ TestBuilderOptional.java:24,1(1),1(1)
Appendable_ThreadSafeMonitor @ ThreadUtils.java:15,1(132707),1(6682)
Appendable_ThreadSafeMonitor @ ThreadUtils.java:17,1(132707),1(6659)
Appendable_ThreadSafeMonitor @ ThrowableProxyConverter.java:180,3(159),1(12)
Arrays_SortBeforeBinarySearchMonitor @ ArrayIterator.java:17,1(0),1(0)
Arrays_SortBeforeBinarySearchMonitor @ COWArrayList.java:51,2(0),2(0)
Arrays_SortBeforeBinarySearchMonitor @ COWArrayList.java:85,1(0),1(0)
Arrays_SortBeforeBinarySearchMonitor @ CyclicBuffer.java:62,1(0),1(0)
Arrays_SortBeforeBinarySearchMonitor @ LoggingEvent.java:112,1(2161),1(117)
Arrays_SortBeforeBinarySearchMonitor @ ObjectArrays.java:36,1(0),1(0)
Arrays_SortBeforeBinarySearchMonitor @ RegularImmutableList.java:35,1(599999),1(10000)
Arrays_SortBeforeBinarySearchMonitor @ RegularImmutableSet.java:42,2(336),1(20)
Arrays_SortBeforeBinarySearchMonitor @ RegularImmutableSet.java:43,1(337),1(75)
CharSequence_NotInMapMonitor @ DataSetAccessor.java:136,1(9007),1(472)
CharSequence_NotInMapMonitor @ DataSetAccessor.java:138,1(479121),1(9999)
CharSequence_NotInMapMonitor @ POJOPropertiesCollector.java:1017,1(18),1(18)
CharSequence_NotInMapMonitor @ POJOPropertiesCollector.java:1019,1(18),1(3)
Closeable_MultipleCloseMonitor @ ObjectMapper.java:4115,1(8),1(8)
Closeable_MultipleCloseMonitor @ WriterBasedJsonGenerator.java:974,1(8),1(8)
Collection_UnsafeIteratorMonitor @ AnnotatedClassResolver.java:157,6(69),6(57)
Collection_UnsafeIteratorMonitor @ AnnotatedFieldCollector.java:46,6(28),6(28)
Collection_UnsafeIteratorMonitor @ AnnotatedMethodCollector.java:45,5(29),5(29)
Collection_UnsafeIteratorMonitor @ AnnotatedMethodCollector.java:90,7(27),7(27)
Collection_UnsafeIteratorMonitor @ AnnotatedMethodMap.java:57,14(54),14(54)
Collection_UnsafeIteratorMonitor @ AnnotationCollector.java:153,2(44),2(13)
Collection_UnsafeIteratorMonitor @ BasicSerializerFactory.java:93,1(0),1(0)
Collection_UnsafeIteratorMonitor @ BasicStatusManager.java:86,1(3),1(2)
Collection_UnsafeIteratorMonitor @ BeanSerializerFactory.java:589,3(11),3(11)
Collection_UnsafeIteratorMonitor @ BeanSerializerFactory.java:695,4(25),4(25)
Collection_UnsafeIteratorMonitor @ ClassUtil.java:133,5(90),4(20)
Collection_UnsafeIteratorMonitor @ Collections2.java:183,11(18005),5(928)
Collection_UnsafeIteratorMonitor @ Collections2.java:203,11(8997),4(497)
Collection_UnsafeIteratorMonitor @ DataBuilderMetadataManager.java:102,6(390),4(47)
Collection_UnsafeIteratorMonitor @ DataBuilderMetadataManager.java:110,6(23),2(5)
Collection_UnsafeIteratorMonitor @ DataBuilderMetadataManager.java:119,4(62),4(15)
Collection_UnsafeIteratorMonitor @ DataFlowExecutor.java:137,3(244066),1(9999)
Collection_UnsafeIteratorMonitor @ DataFlowExecutor.java:154,3(244066),1(9999)
Collection_UnsafeIteratorMonitor @ DataSetAccessor.java:90,6(244065),2(12356)
Collection_UnsafeIteratorMonitor @ ExecutionGraph.java:36,3(0),3(0)
Collection_UnsafeIteratorMonitor @ ExecutionGraph.java:38,2(4),2(4)
Collection_UnsafeIteratorMonitor @ ExecutionGraphGenerator.java:96,13(88),6(9)
Collection_UnsafeIteratorMonitor @ ExecutionGraphGenerator.java:136,9(747),4(62)
Collection_UnsafeIteratorMonitor @ ExecutionGraphGenerator.java:165,11(333),5(26)
Collection_UnsafeIteratorMonitor @ FlowTest.java:114,4(0),4(0)
Collection_UnsafeIteratorMonitor @ ImmutableSet.java:357,43(1392964),7(69363)
Collection_UnsafeIteratorMonitor @ LoggerContext.java:317,1(0),1(0)
Collection_UnsafeIteratorMonitor @ LoopTest.java:89,3(0),3(0)
Collection_UnsafeIteratorMonitor @ MapSerializer.java:900,4(2),4(1)
Collection_UnsafeIteratorMonitor @ MultiThreadedDataFlowExecutor.java:47,4(105010),1(5210)
Collection_UnsafeIteratorMonitor @ MultiThreadedDataFlowExecutor.java:54,6(105013),1(5248)
Collection_UnsafeIteratorMonitor @ MultiThreadedDataFlowExecutor.java:56,4(634096),2(19998)
Collection_UnsafeIteratorMonitor @ MultiThreadedDataFlowExecutor.java:223,2(866163),1(10000)
Collection_UnsafeIteratorMonitor @ MultiThreadedDataFlowExecutor.java:235,2(866160),1(9999)
Collection_UnsafeIteratorMonitor @ MultiThreadedDataFlowExecutor.java:251,1(0),1(0)
Collection_UnsafeIteratorMonitor @ MultiThreadedDataFlowExecutor.java:264,1(1),1(1)
Collection_UnsafeIteratorMonitor @ OptimizedMultiThreadedDataFlowExecutor.java:48,2(3998),1(220)
Collection_UnsafeIteratorMonitor @ OptimizedMultiThreadedDataFlowExecutor.java:55,2(3998),1(218)
Collection_UnsafeIteratorMonitor @ OptimizedMultiThreadedDataFlowExecutor.java:58,3(31997),2(1729)
Collection_UnsafeIteratorMonitor @ OptimizedMultiThreadedDataFlowExecutor.java:242,1(60073),1(3065)
Collection_UnsafeIteratorMonitor @ OptimizedMultiThreadedDataFlowExecutor.java:254,1(60073),1(2990)
Collection_UnsafeIteratorMonitor @ POJOPropertiesCollector.java:329,4(30),4(9)
Collection_UnsafeIteratorMonitor @ POJOPropertiesCollector.java:343,4(30),4(8)
Collection_UnsafeIteratorMonitor @ POJOPropertiesCollector.java:379,6(28),5(15)
Collection_UnsafeIteratorMonitor @ POJOPropertiesCollector.java:460,2(17),2(2)
Collection_UnsafeIteratorMonitor @ POJOPropertiesCollector.java:468,2(17),2(17)
Collection_UnsafeIteratorMonitor @ POJOPropertiesCollector.java:656,6(28),6(28)
Collection_UnsafeIteratorMonitor @ POJOPropertiesCollector.java:705,5(29),5(17)
Collection_UnsafeIteratorMonitor @ POJOPropertiesCollector.java:739,4(30),3(4)
Collection_UnsafeIteratorMonitor @ POJOPropertiesCollector.java:775,4(30),4(30)
Collection_UnsafeIteratorMonitor @ POJOPropertiesCollector.java:966,3(16),3(16)
Collection_UnsafeIteratorMonitor @ POJOPropertiesCollector.java:1007,1(18),1(3)
Collection_UnsafeIteratorMonitor @ ReadOnlyClassToSerializerMap.java:32,1(8),1(8)
Collection_UnsafeIteratorMonitor @ Sets.java:615,15(68063),4(3388)
Collection_UnsafeIteratorMonitor @ Sets.java:672,12(1859300),3(29997)
Collection_UnsafeIteratorMonitor @ Sets.java:682,1(1859311),1(10000)
Collection_UnsafeIteratorMonitor @ Sets.java:716,7(34032),4(1724)
Collection_UnsafeIteratorMonitor @ SimpleDataFlowExecutor.java:53,8(135055),3(6785)
Collection_UnsafeIteratorMonitor @ SimpleDataFlowExecutor.java:54,5(664218),1(9999)
Collection_UnsafeIteratorMonitor @ SimpleDataFlowExecutor.java:66,3(896205),1(9999)
Collection_UnsafeIteratorMonitor @ SimpleDataFlowExecutor.java:92,3(896202),1(9999)
Collection_UnsafeIteratorMonitor @ SimpleDataFlowExecutor.java:102,1(0),1(0)
Collection_UnsafeIteratorMonitor @ SimpleDataFlowExecutor.java:115,1(1),1(1)
Collection_UnsafeIteratorMonitor @ StatusUtil.java:59,1(0),1(0)
Collection_UnsafeIteratorMonitor @ StatusUtil.java:95,1(0),1(0)
Collection_UnsafeIteratorMonitor @ StringCollectionSerializer.java:103,7(36),4(12)
Collection_UnsafeIteratorMonitor @ TypeNameIdResolver.java:64,1(11),1(11)
Collection_UnsynchronizedAddAllMonitor @ BasicStatusManager.java:79,1(0),1(0)
Collection_UnsynchronizedAddAllMonitor @ ExecutionGraphGenerator.java:224,7(515),1(33)
Collection_UnsynchronizedAddAllMonitor @ MultiThreadedDataFlowExecutor.java:125,2(2),2(2)
Collection_UnsynchronizedAddAllMonitor @ SimpleDataFlowExecutor.java:45,1(135052),1(6774)
Collection_UnsynchronizedAddAllMonitor @ SimpleDataFlowExecutor.java:161,1(9),1(9)
Collection_UnsynchronizedAddAllMonitor @ SubstituteLoggerFactory.java:59,1(0),1(0)
